Metrica;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
Temperatura;7;7,3;7,1;7,5;7,2;7,3;7,1;7;9,8;14,8;16,1;17,1;17,2;17,3;16,9;15,9;15,1;14,4;12,6;11,6;11,3;11,4;11,6;11,7
Clima;Ligeras precipitaciones;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Intervalos de lluvias ligeras con tomenta en la región;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Lluvia moderada a intervalos;Intervalos de lluvias ligeras con tomenta en la región;Intervalos de lluvias ligeras con tomenta en la región;Ligeras precipitaciones;Ligeras precipitaciones;Ligeras precipitaciones;Ligeras precipitaciones;Ligeras precipitaciones;Ligeras precipitaciones;Lluvia moderada a intervalos
Precipitaciones;0,53;0,18;0,17;0,13;0,07;0,07;0,11;0,08;0,07;0,15;0,31;0,46;0,54;0,68;0,77;1,04;1,29;1,09;0,98;0,51;0,54;0,46;0,15;0,05
Probabilidad de nevada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Humedad;94;93;93;92;91;92;92;92;84;77;71;67;66;65;67;75;80;84;93;97;96;94;93;92
Velocidad del viento;2,2;3,6;5;5,8;5,8;6,1;7,9;8,3;9,4;10,1;10,1;9,7;7,6;5,4;3,6;2,5;2,2;1,4;0,7;1,8;2,5;2,5;4,7;6,5
Ráfaga de viento;4,5;7,6;10,6;12,1;12,1;12,9;16,6;17,4;15,4;11,7;11,9;12,2;10,4;8;4,6;3,7;3,6;2,6;1,4;3,5;3,1;3,3;6,4;9
Ángulo del viento;33°;48°;48°;50°;56°;69°;69°;66°;76°;84°;87°;89°;83°;98°;123°;155°;183°;210°;169°;28°;350°;346°;27°;49°
Dirección del viento;NNE;NE;NE;NE;ENE;ENE;ENE;ENE;ENE;E;E;E;E;E;ESE;SSE;S;SSW;S;NNE;N;NNW;NNE;NE
Nubosidad;57;73;86;81;69;78;74;87;81;83;70;83;70;84;80;72;76;60;54;81;76;71;56;71
Visibilidad;10;9;9;10;10;10;10;10;10;10;9;10;9;9;9;10;10;10;10;10;10;10;10;10
