Hora,LdrValorAnalog,LdrVoltaje,LdrResistencia,Temperatura,Humedad
2025-04-28 21:22:11,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:13,30.0,0.1466,7283.41,23.8,63.0
2025-04-28 21:22:15,30.0,0.1466,7283.41,23.8,63.0
2025-04-28 21:22:17,30.0,0.1466,7283.41,23.8,63.0
2025-04-28 21:22:19,30.0,0.1466,7283.41,23.8,63.0
2025-04-28 21:22:21,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:23,30.0,0.1466,7283.41,23.8,63.0
2025-04-28 21:22:25,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:27,10.0,0.0489,22274.89,23.8,63.0
2025-04-28 21:22:29,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:31,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:33,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:35,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:37,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:39,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:41,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:43,0.1,0.0005,2199780.0,23.8,63.0
2025-04-28 21:22:45,29.0,0.1417,7542.88,23.8,63.0
2025-04-28 21:22:48,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:50,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:52,32.0,0.1564,6813.25,23.8,63.0
2025-04-28 21:22:54,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:56,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:22:58,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:23:00,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:23:02,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:23:04,32.0,0.1564,6813.25,23.8,63.0
2025-04-28 21:23:06,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:23:08,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:23:10,31.0,0.1515,7040.73,23.8,63.0
2025-04-28 21:23:12,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:14,32.0,0.1564,6813.25,23.4,63.0
2025-04-28 21:23:16,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:18,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:20,32.0,0.1564,6813.25,23.4,63.0
2025-04-28 21:23:22,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:24,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:26,32.0,0.1564,6813.25,23.4,63.0
2025-04-28 21:23:28,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:30,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:32,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:34,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:36,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:38,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:40,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:42,32.0,0.1564,6813.25,23.4,63.0
2025-04-28 21:23:44,31.0,0.1515,7040.73,23.4,63.0
2025-04-28 21:23:46,32.0,0.1564,6813.25,23.0,63.0
2025-04-28 21:23:48,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:23:50,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:23:52,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:23:54,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:23:56,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:23:58,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:24:00,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:24:02,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:24:04,32.0,0.1564,6813.25,23.0,63.0
2025-04-28 21:24:06,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:24:08,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:24:10,31.0,0.1515,7040.73,23.0,63.0
2025-04-28 21:24:12,30.0,0.1466,7283.41,23.0,63.0
2025-04-28 21:24:15,30.0,0.1466,7283.41,23.0,63.0
2025-04-28 21:24:17,30.0,0.1466,7283.41,23.0,63.0
2025-04-28 21:24:19,30.0,0.1466,7283.41,23.0,63.0
2025-04-28 21:24:21,31.0,0.1515,7040.73,23.0,64.0
2025-04-28 21:24:23,30.0,0.1466,7283.41,22.6,64.0
2025-04-28 21:24:25,31.0,0.1515,7040.73,22.6,64.0
