Metrica
Temperatura,10° C,10° C,11° C,11° C,10° C,10° C,9° C,13° C,13° C,14° C,16° C,17° C,18° C,17° C,16° C,15° C,13° C,13° C,9° C,8° C,7° C,7° C,8° C,8° C
Clima,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Lluvias fuertes o moderadas,Lluvias fuertes o moderadas,Lluvias fuertes o moderadas,Lluvias fuertes o moderadas,Lluvias fuertes o moderadas,Llovizna a intervalos,Llovizna a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos
Probabilidad de lluvia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Precipitaciones,"0,3 mm","0,2 mm","0,2 mm","0,1 mm","0,1 mm","0,1 mm","0,1 mm","0,1 mm","0,1 mm","0,3 mm","0,5 mm",1 mm,"1,3 mm","1,8 mm",2 mm,"2,5 mm",3 mm,"3,5 mm","4,1 mm","2,8 mm","0,7 mm","0,4 mm","0,3 mm","0,1 mm"
Humedad,92%,92%,91%,90%,90%,90%,88%,86%,83%,78%,73%,69%,70%,74%,82%,89%,96%,99%,99%,95%,95%,92%,91%,92%
Velocidad del viento,1Km/h,2Km/h,1Km/h,1Km/h,1Km/h,3Km/h,3Km/h,1Km/h,1Km/h,1Km/h,1Km/h,4Km/h,6Km/h,6Km/h,8Km/h,8Km/h,9Km/h,8Km/h,9Km/h,6Km/h,2Km/h,3Km/h,3Km/h,3Km/h
Ráfaga de viento,2Km/h,3Km/h,2Km/h,1Km/h,1Km/h,5Km/h,5Km/h,2Km/h,1Km/h,2Km/h,2Km/h,6Km/h,9Km/h,11Km/h,12Km/h,14Km/h,16Km/h,16Km/h,18Km/h,12Km/h,4Km/h,6Km/h,5Km/h,5Km/h
Ángulo del viento,41°,64°,20°,59°,97°,98°,79°,67°,110°,113°,240°,237°,234°,236°,242°,244°,242°,245°,262°,314°,282°,68°,150°,124°
Dirección del viento,NE,ENE,NNE,ENE,E,E,ENE,ENE,ESE,ESE,WSW,WSW,SW,WSW,WSW,WSW,WSW,WSW,W,NW,WNW,ENE,SSE,ESE
Nubosidad,100%,100%,95%,65%,54%,51%,88%,88%,85%,73%,75%,83%,82%,81%,63%,59%,97%,100%,100%,69%,64%,74%,77%,89%
Índice UV,0,0,0,0,0,0,0,0,1,4,9,13,11,8,6,3,1,0,0,0,0,0,0,0
Visibilidad,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,9 Km,9 Km,10 Km,10 Km,10 Km,10 Km,7 Km,7 Km,7 Km,7 Km,7 Km,5 Km,5 Km,9 Km,10 Km
