Hora
Temperatura,10° C,10° C,10° C,10° C,9° C,10° C,10° C,11° C,11° C,11° C,12° C,11° C,19° C,12° C,13° C,14° C,15° C,15° C,10° C,12° C,12° C,11° C,11° C,11° C
Clima,Lluvia moderada,Ligeras precipitaciones,Llovizna,Llovizna,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Ligeras precipitaciones,Llovizna a intervalos,Lluvias ligeras a intervalos,Lluvias ligeras a intervalos,Lluvias ligeras a intervalos,Lluvias ligeras a intervalos,Parcialmente nublado,Llovizna a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Llovizna a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado
Probabilidad de lluvia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,70%,100%,100%,100%,100%,100%,88%,0%,0%,0%
Precipitaciones,"3,4 mm","2,2 mm","0,6 mm","0,2 mm","0,1 mm","0,1 mm","0,2 mm","0,4 mm",1 mm,1 mm,"1,1 mm",1 mm,"0,5 mm","0,2 mm",0 mm,"0,1 mm","0,1 mm","0,2 mm","0,1 mm","0,1 mm",0 mm,0 mm,0 mm,0 mm
Humedad,98%,97%,97%,96%,93%,91%,90%,91%,93%,93%,92%,92%,64%,86%,81%,76%,74%,76%,89%,91%,90%,90%,90%,90%
Velocidad del viento,2Km/h,4Km/h,4Km/h,2Km/h,3Km/h,4Km/h,6Km/h,8Km/h,8Km/h,9Km/h,11Km/h,10Km/h,8Km/h,6Km/h,4Km/h,1Km/h,1Km/h,2Km/h,2Km/h,1Km/h,2Km/h,3Km/h,5Km/h,5Km/h
Ráfaga de viento,3Km/h,5Km/h,5Km/h,2Km/h,3Km/h,5Km/h,8Km/h,9Km/h,9Km/h,10Km/h,12Km/h,11Km/h,10Km/h,7Km/h,5Km/h,2Km/h,1Km/h,2Km/h,3Km/h,2Km/h,3Km/h,5Km/h,8Km/h,9Km/h
Ángulo del viento,190°,155°,171°,145°,72°,82°,83°,84°,90°,99°,106°,109°,103°,103°,88°,79°,276°,273°,304°,13°,76°,75°,70°,67°
Dirección del viento,S,SSE,S,SE,ENE,E,E,E,E,E,ESE,ESE,ESE,ESE,E,E,W,W,WNW,NNE,ENE,ENE,ENE,ENE
Nubosidad,100%,98%,90%,78%,55%,100%,91%,76%,53%,58%,57%,64%,75%,81%,64%,72%,82%,76%,86%,61%,55%,52%,52%,49%
Índice UV,0,0,0,0,0,0,0,0,1,3,6,6,7,6,5,4,1,0,0,0,0,0,0,0
Visibilidad,7 Km,10 Km,2 Km,2 Km,10 Km,10 Km,10 Km,5 Km,9 Km,9 Km,9 Km,9 Km,10 Km,5 Km,10 Km,10 Km,10 Km,5 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km
